"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EZE00100082","1775","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","246.3","","246.3","E","","","","","0","E","53","E","14","E","97","E","0","E","-16.0","E,0126,","","","31.3","E,0806,","0.0","E,1117","-2.7","E,1203","-4.6","E,1216","-7.0","E,1221","-9.0","E,1222","-3.3","E,0415","-3.3","E,0415","-9.1","E,0207","-9.1","E,0207","-9.1","E,0207","","","","","","","10.55","E","13.64","E","7.46","E"
"EZE00100082","1776","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","114.6","","114.6","E","","","","","10","E","79","E","45","E","78","E","1","E","-22.7","E,0128,","","","32.4","E,0816,","-4.2","E,1102","-4.2","E,1102","-4.7","E,1221","-8.5","E,1228","-10.8","E,1229","-0.4","E,0408","-3.7","E,0204","-13.3","E,0203","-13.3","E,0203","-13.3","E,0203","3481.8","","3481.8","E","","","8.53","E","11.72","E","5.34","E"
"EZE00100082","1777","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","62.6","","62.6","E","","","","","0","E","84","E","38","E","58","E","0","E","-12.4","E,1224,","","","29.3","E,0719,","-1.3","E,1021","-4.4","E,1022","-4.4","E,1022","-12.4","E,1224","-12.4","E,1224","-0.2","E,0421","-2.3","E,0315","-5.2","E,0309","-7.9","E,0219","-9.2","E,0110","3628.0","","3628.0","E","","","8.67","E","11.76","E","5.58","E"
"EZE00100082","1778","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","188.4","","188.4","E","","","","","0","E","76","E","9","E","70","E","0","E","-9.9","E,0127,","","","31.4","E,0814,","-0.4","E,1014","-2.6","E,1115","","","","","","","-0.8","E,0328","-2.7","E,0315","-6.8","E,0313","-6.8","E,0313","-9.9","E,0127","3330.2","","3330.2","E","","","9.91","E","13.17","E","6.65","E"
"EZE00100082","1779","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","109.5","","109.5","E","","","","","0","E","75","E","22","E","86","E","0","E","-13.0","E,0109,","","","29.3","E,0721,","-0.3","E,1109","-2.2","E,1208","-8.6","E,1230","-8.6","E,1230","-10.2","E,1231","-0.2","E,0418","-2.6","E,0313","-4.7","E,0312","-8.0","E,0203","-11.8","E,0123","3216.0","","3216.0","E","","","10.23","E","13.64","E","6.82","E"
"EZE00100082","1780","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","94.5","","94.5","E","","","","","0","E","94","E","44","E","65","E","0","E","-16.2","E,0201,","","","28.0","E,0723,","-0.9","E,1108","-2.7","E,1128","-5.5","E,1217","-8.7","E,1218","-10.4","E,1219","0.0","E,0409","-2.2","E,0408","-4.6","E,0227","-9.1","E,0219","-9.1","E,0219","3344.6","","3344.6","E","","","8.64","E","11.93","E","5.34","E"
"EZE00100082","1781","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","310.3","","310.3","E","","","","","0","E","75","E","34","E","109","E","3","E","-12.7","E,0115,","","","34.4","E,0704,","-0.2","E,1103","-3.0","E,1124","-7.8","E,1209","-7.8","E,1209","-9.3","E,1210","-1.0","E,0402","-3.3","E,0330","-7.0","E,0225","-7.0","E,0225","-10.5","E,0121","3356.6","","3356.6","E","","","10.08","E","13.22","E","6.95","E"
"EZE00100082","1782","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","211.7","","211.7","E","","","","","2","E","95","E","51","E","83","E","3","E","-18.8","E,0216,","","","35.6","E,0727,","-0.1","E,1010","-2.5","E,1118","-4.5","E,1122","-7.1","E,1130","-9.2","E,1218","0.0","E,0502","-3.8","E,0327","-7.0","E,0325","-7.0","E,0325","-10.1","E,0222","3494.6","","3494.6","E","","","8.84","E","11.91","E","5.77","E"
"EZE00100082","1783","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","190.8","","190.8","E","","","","","2","E","82","E","38","E","97","E","1","E","-21.5","E,1231,","","","32.5","E,0804,","-3.0","E,1108","-3.0","E,1108","-4.4","E,1109","-7.1","E,1212","-9.8","E,1219","-0.1","E,0331","-3.1","E,0330","-6.7","E,0306","-6.7","E,0306","-11.0","E,0105","3359.6","","3359.6","E","","","9.98","E","13.12","E","6.84","E"
"EZE00100082","1784","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","196.4","","196.4","E","","","","","9","E","111","E","58","E","92","E","0","E","-25.5","E,0105,","","","30.9","E,0805,","-1.0","E,1005","-2.7","E,1211","-4.7","E,1215","-8.0","E,1219","-9.8","E,1228","-0.5","E,0408","-3.9","E,0406","-6.6","E,0403","-8.4","E,0322","-10.2","E,0222","3906.3","","3906.3","E","","","8.16","E","11.46","E","4.87","E"
